FI
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Min-Max 0.5581376319450126 0.5670995670995671 0.5729635304791159 0.5839362811839875 0.5941709509548706 0.5991275846523132 0.6083786678937303 0.6218440662885107 0.6354134390944207 0.6378980982522169 0.648460086587613 0.6605277311690803 0.6691868245331595 0.6739711896152368 0.6833639151365363 0.693311949579359 0.697450832222477 0.7034487285970756 0.70924168331945 0.7148171828809119 
1Offer-1Accept 0.5581376319450126 0.6376487719311882 0.7130526340148333 0.7838787180085718 0.8505849221595644 0.8977733473509134 0.9395990746122375 0.9686790384464803 0.985857390708505 0.9933770448374064 0.9969787606876341 0.9987893315899707 0.9995961211475006 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 
1Apply-1Give 0.5581376319450126 0.6576019315310696 0.7451711673335719 0.8107189233469096 0.858130905062313 0.9081726354453626 0.9395990746122375 0.9594718542693202 0.9778694614375366 0.9894052338144956 0.9931777047390874 0.9973805479490697 0.9987893315899707 0.9995961211475006 1.0 1.0 1.0 1.0 1.0 1.0 
MultipleOffer-MultipleAccept 0.5581376319450126 0.9263916749546269 0.9852685307947429 0.9961761468037619 0.9981850850287665 0.9993943028122521 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 0.999798020193941 
Bidding 0.5581376319450126 0.7273066480250011 0.8120551107690942 0.8492668732587058 0.8736269077476427 0.8882456726640292 0.924312505256076 0.9179594548944052 0.9790304138130225 0.9949746218402935 0.9985878356159962 0.9993943028122521 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
RichDonateToPoor 0.5581376319450126 0.8009645191273583 0.9328610979096416 0.9541038487201144 0.8871285245419195 0.9617106217067733 0.9957753194160284 0.9983864201116598 0.9991925651398074 0.9995961211475006 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
PoorRobFromRich 0.5581376319450126 0.9295278365045807 0.9546564016478056 0.9717234553937508 0.978836732312354 0.9967779872086092 0.9985878356159962 0.9991925651398074 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
Centralized-Algorithm 0.5581376319450126 0.9989909080818172 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 
Worst 0.5581376319450126 0.11629749455412043 0.11588130550938304 0.11583104451824063 0.11588130550938304 0.11588444815345635 0.11596935884896745 0.11649710115644844 0.11582790453782325 0.11596621196741011 0.11632913610533958 0.11580592905849058 0.11580592905849058 0.11596621196741011 0.11588130550938304 0.11588130550938304 0.11580592905849058 0.11652884273484013 0.11581220698420469 0.11629749455412043 





productivity per iteration
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Min-Max 0 1.38 0.88 1.6 1.44 0.68 1.24 1.74 1.68 0.3 1.25 1.38 0.96 0.52 1.0 1.03 0.42 0.6 0.57 0.54 
1Offer-1Accept 0 10.91 8.13 6.23 4.93 3.05 2.45 1.58 0.89 0.38 0.18 0.09 0.04 0.01 0.0 0.0 0.0 0.0 0.0 0.0 
1Apply-1Give 0 13.24 8.77 5.34 3.36 3.17 1.82 1.09 0.97 0.59 0.19 0.21 0.07 0.04 0.02 0.0 0.0 0.0 0.0 0.0 
MultipleOffer-MultipleAccept 0 34.95 3.19 0.55 0.1 0.06 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Bidding 0 20.39 7.06 2.66 1.62 0.93 2.17 -0.37 3.36 0.81 0.18 0.04 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
RichDonateToPoor 0 26.61 8.71 1.18 -3.91 4.32 1.76 0.13 0.04 0.02 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
PoorRobFromRich 0 35.13 1.4 0.91 0.37 0.91 0.09 0.03 0.04 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Centralized-Algorithm 0 38.83 0.05 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Worst 0 -310.69 -1.32 -0.16 0.16 0.01 0.27 1.67 -2.12 0.44 1.15 -1.66 0.0 0.51 -0.27 0.0 -0.24 2.29 -2.27 1.54 





total productivity
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Min-Max 0 1.38 2.26 3.86 5.3 5.98 7.22 8.96 10.64 10.94 12.19 13.57 14.53 15.05 16.05 17.08 17.5 18.1 18.67 19.21 
1Offer-1Accept 0 10.91 19.04 25.27 30.2 33.25 35.7 37.28 38.17 38.55 38.73 38.82 38.86 38.87 38.87 38.87 38.87 38.87 38.87 38.87 
1Apply-1Give 0 13.24 22.01 27.35 30.71 33.88 35.7 36.79 37.76 38.35 38.54 38.75 38.82 38.86 38.88 38.88 38.88 38.88 38.88 38.88 
MultipleOffer-MultipleAccept 0 34.95 38.14 38.69 38.79 38.85 38.87 38.87 38.87 38.87 38.87 38.87 38.87 38.87 38.87 38.87 38.87 38.87 38.87 38.87 
Bidding 0 20.39 27.45 30.11 31.73 32.66 34.83 34.46 37.82 38.63 38.81 38.85 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 
RichDonateToPoor 0 26.61 35.32 36.5 32.59 36.91 38.67 38.8 38.84 38.86 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 
PoorRobFromRich 0 35.13 36.53 37.44 37.81 38.72 38.81 38.84 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 
Centralized-Algorithm 0 38.83 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 38.88 
Worst 0 -310.69 -312.01 -312.17 -312.01 -312.0 -311.73 -310.06 -312.18 -311.74 -310.59 -312.25 -312.25 -311.74 -312.01 -312.01 -312.25 -309.96 -312.23 -310.69 





percent overshoot per iteration
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Min-Max 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1Offer-1Accept 0 0.04333333333333334 0.0 0.055 0.03333333333333333 0.035 0.075 0.05 0.03 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
1Apply-1Give 0 0.06 0.05833333333333333 0.03 0.05 0.04 0.035 0.01 0.03 0.03 0.0 0.03 0.01 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
MultipleOffer-MultipleAccept 0 0.0011111111111111111 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Bidding 0 0.0795912087912088 0.16605128205128206 0.13878968253968255 0.1835238095238095 0.3263333333333334 0.2275277777777778 0.26999999999999996 0.3264444444444445 0.2 0.06 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
RichDonateToPoor 0 0.7669380619380619 0.3739523809523809 0.37 0.23833333333333337 0.295 0.13 0.05 0.03 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
PoorRobFromRich 0 0.23541328116328117 0.40609523809523806 0.47602380952380957 0.40833333333333327 0.13 0.05 0.02 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Centralized-Algorithm 0 0.01844444444444445 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
Worst 0 2.405442918192918 0.47750892625892616 0.5818363062058715 0.2805920673836633 0.5697422891118543 0.35466621149352173 0.3014614624505929 0.4357681034534581 0.29231688538103767 0.20449648660518227 0.49557723876259346 0.16566666666666666 0.4574002187143711 0.153 0.0 0.6247396878483834 0.4124164334937438 0.37652044370579846 0.46716222269793706 





total overshoot
. 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 
Min-Max 0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
